NO;TANGGAL;KATEGORI;SUB KATEGORI;KETERANGAN;KELUAR;MASUK;AKUN
476;12/05/2022;JAJAN;Jajan & Rokok;Warung;15000;0;CASH
477;12/05/2022;KERJA;Reimburse;Kasbon Tukang;0;200000;CASH
478;12/05/2022;MAKAN;Makan Luar;Warteg Wijaya;20000;0;CASH
479;12/05/2022;JAJAN;Jajan & Rokok;Rokok;35000;0;CASH
480;12/05/2022;HIBURAN;Self Care;Konsultasi;180068;0;BCA
481;12/05/2022;JAJAN;Jajan & Rokok;Warkop kos;4000;0;CASH
482;12/05/2022;TEMPAT TINGGAL;Maintenance;Listrik;44425;0;BCA
483;12/05/2022;MAKAN;Makan Luar;Padang Kos;20000;0;CASH
484;13/05/2022;JAJAN;Jajan & Rokok;Warkop;4000;0;CASH
485;13/05/2022;MAKAN;Makan Luar;Warung;18000;0;CASH
486;13/05/2022;JAJAN;Kafe;Monarki;26000;0;CASH
487;13/05/2022;MAKAN;Makan Luar;Taichan;115000;0;CASH
488;13/05/2022;TRANSPORT;Publik;Parkir;2000;0;CASH
489;13/05/2022;MAKAN;Makan Luar;Warteg;11000;0;CASH
490;14/05/2022;MAKAN;Makan Luar;Warteg Wijaya;16000;0;CASH
491;14/05/2022;TABUNGAN;Inves;Ajaib;2000000;0;BLU
492;14/05/2022;JAJAN;Jajan & Rokok;Warung;7000;0;CASH
493;14/05/2022;JAJAN;Jajan & Rokok;Indomaret;43500;0;CASH
494;14/05/2022;MAKAN;Makan Luar;Bebek Bakar;78000;0;CASH
495;14/05/2022;JAJAN;Jajan & Rokok;Rokok;40000;0;CASH
496;14/05/2022;MAKAN;Makan Luar;Padang Wijaya;16000;0;CASH
497;15/05/2022;JAJAN;Jajan & Rokok;Kopi Tak Kie;50400;0;BCA
498;15/05/2022;TRANSPORT;Publik;Parkir;2000;0;FLAZZ
499;15/05/2022;TRANSPORT;Pribadi;Pertamax;70000;0;CASH
500;15/05/2022;TEMPAT TINGGAL;Maintenance;Laundry;35000;0;CASH
501;15/05/2022;MAKAN;Online;McDonald's;65000;0;BCA
502;15/05/2022;TRANSPORT;Publik;Parkir;2000;0;CASH
503;16/05/2022;MAKAN;Online;Nasi Kuning Mbok Rum;45000;0;BCA
504;16/05/2022;TRANSPORT;Publik;Parkir;3000;0;FLAZZ
505;16/05/2022;MAKAN;Makan Luar;Mie Karet Taman Sari;140000;0;CASH
506;16/05/2022;TABUNGAN;Inves;Ajaib;394000;0;BLU
507;16/05/2022;JAJAN;Kafe;Dialogue;97900;0;BCA
508;16/05/2022;LAIN - LAIN;Teman;Cecep;0;66000;BCA
509;16/05/2022;LAIN - LAIN;Teman;Ola;48000;80000;BCA
510;16/05/2022;TRANSPORT;Publik;Parkir;4000;0;FLAZZ
511;16/05/2022;JAJAN;Jajan & Rokok;Minum;11000;0;CASH
512;16/05/2022;MAKAN;Makan Luar;Ketupat Sayur Mandala;22000;0;CASH
513;16/05/2022;LAIN - LAIN;Teman;Krisna;0;37000;CASH
514;16/05/2022;LAIN - LAIN;Teman;Ola;0;10000;CASH
515;17/05/2022;KERJA;Gaji;Uang Makan;0;100000;CASH
516;17/05/2022;KERJA;Gaji;Uang Kos;0;600000;CASH
517;17/05/2022;MAKAN;Makan Luar;Warteg;16000;0;CASH
518;17/05/2022;JAJAN;Jajan & Rokok;Pima;11000;0;CASH
519;17/05/2022;MAKAN;Makan Luar;Hisana;25000;0;CASH
520;17/05/2022;JAJAN;Jajan & Rokok;Minum;5000;0;CASH
521;17/05/2022;TEMPAT TINGGAL;Maintenance;Galon;20000;0;CASH
522;17/05/2022;HIBURAN;Internet & Langganan;Internet;35600;0;BCA
523;17/05/2022;JAJAN;Jajan & Rokok;Warung;9000;0;CASH
524;18/05/2022;MAKAN;Makan Luar;Warteg;20000;0;CASH
525;18/05/2022;MAKAN;Makan Luar;Warteg;19000;0;CASH
526;18/05/2022;MAKAN;Online;Moon Chicken;27000;0;BLU
527;18/05/2022;JAJAN;Jajan & Rokok;Rokok;40000;0;CASH
528;19/05/2022;MAKAN;Makan Luar;Warteg;21000;0;CASH
529;19/05/2022;MAKAN;Makan Luar;Warteg;20000;0;CASH
530;19/05/2022;TRANSPORT;Pribadi;Pertamax;70000;0;CASH
531;19/05/2022;MAKAN;Online;Remesin;26000;0;BLU
532;19/05/2022;JAJAN;Jajan & Rokok;Minum;5000;0;CASH
533;20/05/2022;BELANJA;Kebutuhan;Masker;35000;0;BCA
534;20/05/2022;MAKAN;Makan Luar;Warteg;21000;0;CASH
535;20/05/2022;KERJA;Reimburse;Dynabolt;10000;0;CASH
536;20/05/2022;MAKAN;Online;Gold Chick;30000;0;BLU
537;20/05/2022;KERJA;Gaji;Uang Makan;0;250000;BCA
538;20/05/2022;KERJA;Gaji;Uang Bensin;0;140000;BCA
539;20/05/2022;KERJA;Gaji;Uang Pulsa;0;200000;BCA
540;20/05/2022;HIBURAN;Entertainment;Nonton;40000;0;BCA
541;20/05/2022;MAKAN;Makan Luar;Jejepangan;47000;0;CASH
542;20/05/2022;LAIN - LAIN;Teman;Ola;46000;0;CASH
543;20/05/2022;TRANSPORT;Publik;Parkir;7000;0;CASH
544;21/05/2022;MAKAN;Makan Luar;Warteg;16000;0;CASH
545;21/05/2022;BELANJA;Kebutuhan;Sunscreen;40000;0;BCA
546;21/05/2022;TRANSPORT;Publik;Parkir;2000;0;CASH
547;21/05/2022;KERJA;Reimburse;Pipa;116000;0;CASH
548;21/05/2022;MAKAN;Makan Luar;Warteg;19000;0;CASH
549;21/05/2022;JAJAN;Jajan & Rokok;Warung;3000;0;CASH
550;21/05/2022;MAKAN;Makan Luar;Gultik;30000;0;CASH
551;21/05/2022;MAKAN;Makan Luar;Warteg;19000;0;CASH
552;21/05/2022;TRANSPORT;Publik;Parkir;10000;0;CASH
553;22/05/2022;MAKAN;Online;Nasi Kuning Mbok Rum;50000;0;BCA
554;22/05/2022;LAIN - LAIN;Teman;Krisna;0;40000;CASH
555;22/05/2022;JAJAN;Jajan & Rokok;Rokok;14000;0;CASH
556;22/05/2022;MAKAN;Makan Luar;Ayam Bakar Tulang Lunak;32000;0;CASH
557;22/05/2022;BELANJA;Kebutuhan;Helm;110000;0;CASH
558;22/05/2022;LAIN - LAIN;Saldo;Tarik tunai;200000;0;BCA
559;22/05/2022;LAIN - LAIN;Saldo;Tarik tunai;0;200000;CASH
560;22/05/2022;TRANSPORT;Publik;Parkir;11000;0;CASH
561;22/05/2022;MAKAN;Makan Luar;Winglok;50000;0;CASH
562;22/05/2022;LAIN - LAIN;Teman;Ola;40000;0;CASH
563;22/05/2022;LAIN - LAIN;Teman;Ola;0;46500;BCA
564;22/05/2022;JAJAN;Jajan & Rokok;Rokok;34000;0;CASH
565;22/05/2022;TABUNGAN;Bunga & Admin;Bunga;7500;0;BCA
566;23/05/2022;KERJA;Reimburse;Reimburse;0;126000;CASH
567;23/05/2022;KERJA;Reimburse;Mata Gerinda;78000;0;CASH
568;23/05/2022;MAKAN;Makan Luar;Warteg;16000;0;CASH
569;23/05/2022;TRANSPORT;Publik;Gojek;40000;0;BCA
570;23/05/2022;MAKAN;Makan Luar;Warteg;19000;0;CASH
571;23/05/2022;MAKAN;Makan Luar;Warteg;26000;0;CASH
572;23/05/2022;LAIN - LAIN;Teman;Ola;23000;45000;CASH
573;23/05/2022;TRANSPORT;Publik;Parkir;3000;0;FLAZZ
574;23/05/2022;TRANSPORT;Pribadi;Pertamax;30000;0;CASH
575;24/05/2022;KERJA;Reimburse;Reimburse;0;116000;CASH
576;24/05/2022;TRANSPORT;Pribadi;Pertamax;75000;0;CASH
577;24/05/2022;MAKAN;Makan Luar;Warteg;16000;0;CASH
578;24/05/2022;MAKAN;Makan Luar;Padang Kos;20000;0;CASH
579;24/05/2022;JAJAN;Jajan & Rokok;Jus;12000;0;CASH
580;24/05/2022;LAIN - LAIN;Saldo;Tarik tunai;200000;0;BCA
581;24/05/2022;LAIN - LAIN;Saldo;Tarik tunai;0;200000;CASH
582;24/05/2022;JAJAN;Jajan & Rokok;Warkop;5000;0;CASH
583;25/05/2022;JAJAN;Jajan & Rokok;Indomaret;59500;0;CASH
584;25/05/2022;JAJAN;Jajan & Rokok;Gorengan;5000;0;CASH
585;25/05/2022;LAIN - LAIN;Teman;Ola;0;23000;BCA
586;25/05/2022;HIBURAN;Entertainment;Mabuk;300315;0;BCA
587;25/05/2022;JAJAN;Jajan & Rokok;Warung;5000;0;CASH
588;25/05/2022;TEMPAT TINGGAL;Maintenance;Laundry;28000;0;CASH
589;25/05/2022;MAKAN;Online;Gold Chick;28000;0;BCA
590;25/05/2022;MAKAN;Makan Luar;Taichan;20000;0;CASH
591;26/05/2022;MAKAN;Online;Nayam;32500;0;BCA
592;26/05/2022;MAKAN;Makan Luar;Padang Kos;20000;0;CASH
593;26/05/2022;MAKAN;Online;Sate Ayam;17000;0;BCA
594;27/05/2022;MAKAN;Makan Luar;Warteg;16000;0;CASH
595;27/05/2022;MAKAN;Makan Luar;Warteg;19000;0;CASH
596;27/05/2022;JAJAN;Jajan & Rokok;Warung;4000;0;CASH
597;27/05/2022;LAIN - LAIN;Saldo;Top up flazz;20000;0;BCA
598;27/05/2022;LAIN - LAIN;Saldo;Top up flazz;0;20000;FLAZZ
599;27/05/2022;TRANSPORT;Publik;Parkir;10000;0;CASH
600;27/05/2022;MAKAN;Online;McDonald's;61500;0;BCA
601;27/05/2022;TABUNGAN;Sangu;Mamah;0;2000000;BCA
602;27/05/2022;BELANJA;Kebutuhan;Rice Cooker;200000;0;BCA
603;28/05/2022;MAKAN;Makan Luar;Warteg;13000;0;CASH
604;28/05/2022;LAIN - LAIN;Saldo;Tarik tunai;0;200000;CASH
605;28/05/2022;LAIN - LAIN;Saldo;Tarik tunai;200000;0;BCA
606;28/05/2022;JAJAN;Jajan & Rokok;Rokok;24000;0;CASH
607;28/05/2022;JAJAN;Jajan & Rokok;Warung;5000;0;CASH
608;28/05/2022;MAKAN;Makan Luar;Warmindo;13000;0;CASH
609;28/05/2022;TRANSPORT;Publik;Parkir;5000;0;CASH
610;28/05/2022;MAKAN;Makan Luar;Chickro;70500;0;BCA
611;28/05/2022;LAIN - LAIN;Teman;Ola;75000;75000;BCA
612;28/05/2022;LAIN - LAIN;Teman;Cecep;102500;0;BCA
613;28/05/2022;LAIN - LAIN;Teman;Krisnandio;30000;0;BCA
614;29/05/2022;MAKAN;Online;Nasi Kuning Mbok Rum;28000;0;BCA
615;29/05/2022;TABUNGAN;Bunga & Admin;Bunga;2552;0;BCA
616;29/05/2022;MAKAN;Online;Gold Chick;16000;0;BCA
617;29/05/2022;LAIN - LAIN;Teman;Cecep;16000;100000;BCA
618;29/05/2022;JAJAN;Jajan & Rokok;Rokok;34000;0;CASH
619;30/05/2022;MAKAN;Makan Luar;Padang Kos;24000;0;CASH
620;30/05/2022;MAKAN;Online;Nasi Campur Pontianak;26000;0;BCA
621;30/05/2022;MAKAN;Makan Luar;Warmindo;12000;0;CASH
622;31/05/2022;KERJA;Gaji;Uang Makan;0;250000;CASH
623;31/05/2022;KERJA;Gaji;Uang Bensin;0;95000;CASH
624;31/05/2022;KERJA;Gaji;Gaji;0;3500000;BCA
625;31/05/2022;LAIN - LAIN;Saldo;Pindah saldo;0;2100000;BLU
626;31/05/2022;LAIN - LAIN;Saldo;Pindah saldo;2100000;0;BCA
627;31/05/2022;TRANSPORT;Pribadi;Pertamax;75000;0;CASH
628;31/05/2022;JAJAN;Jajan & Rokok;Warung;7000;0;CASH
629;31/05/2022;KERJA;Reimburse;Mata Potong Keramik;190000;0;CASH
630;31/05/2022;KERJA;Reimburse;Pasir;335000;0;BCA
631;31/05/2022;MAKAN;Makan Luar;Warteg;18000;0;CASH
632;31/05/2022;BELANJA;Kebutuhan;Makanan;318980;0;BCA
633;31/05/2022;JAJAN;Jajan & Rokok;Rokok;35000;0;CASH
634;31/05/2022;TRANSPORT;Publik;Parkir;2000;0;FLAZZ
635;01/06/2022;TABUNGAN;Bunga & Admin;Bunga;0;5467,69;BLU
636;01/06/2022;TABUNGAN;Bunga & Admin;Bunga;7500;0;MANDIRI
637;01/06/2022;BELANJA;Hobi;Keyboard 2/3;639882;0;BLU
638;01/06/2022;TEMPAT TINGGAL;Kos;Bayar Juni - Juli;1400000;0;BCA
639;01/06/2022;HIBURAN;Internet & Langganan;Netflix;40000;0;BCA
640;01/06/2022;HIBURAN;Internet & Langganan;Pulsa;16500;0;BCA
641;01/06/2022;HIBURAN;Internet & Langganan;Spotify;30000;0;BCA
642;01/06/2022;JAJAN;Jajan & Rokok;Indomaret;13000;0;CASH
643;01/06/2022;TEMPAT TINGGAL;Maintenance;Laundry;35000;0;CASH
644;01/06/2022;TEMPAT TINGGAL;Maintenance;Galon;20000;0;CASH
645;02/06/2022;KERJA;Reimburse;Reimburse;0;525000;CASH
646;02/06/2022;JAJAN;Jajan & Rokok;Warung;3000;0;CASH
647;02/06/2022;MAKAN;Makan Luar;Warteg;17000;0;CASH
648;03/06/2022;JAJAN;Jajan & Rokok;Warung;8000;0;CASH
649;03/06/2022;MAKAN;Makan Luar;Warteg;25000;0;CASH
650;03/06/2022;KERJA;Reimburse;Roll Cat;40000;0;CASH
651;03/06/2022;KERJA;Gaji;Uang Makan;0;200000;BCA
652;03/06/2022;KERJA;Gaji;Uang Bensin;0;75000;BCA
653;03/06/2022;KERJA;Gaji;Uang Pulsa;0;200000;BCA
654;03/06/2022;JAJAN;Kafe;Pick Cup;31500;0;BCA
655;03/06/2022;JAJAN;Jajan & Rokok;Rokok;20500;0;CASH
656;04/06/2022;MAKAN;Makan Luar;Warteg;21000;0;CASH
657;04/06/2022;JAJAN;Jajan & Rokok;Indomaret;25000;0;CASH
658;05/06/2022;JAJAN;Kafe;Starbucks;20000;0;BLU
659;05/06/2022;TRANSPORT;Publik;Parkir;7000;0;CASH
660;06/06/2022;TRANSPORT;Pribadi;Pertamax;70000;0;CASH
661;06/06/2022;MAKAN;Makan Luar;Warteg;18000;0;CASH
662;06/06/2022;BELANJA;Kebutuhan;Makanan;62000;0;CASH
663;06/06/2022;TEMPAT TINGGAL;Maintenance;Listrik;50500;0;BLU
664;06/06/2022;KERJA;Reimburse;Pipa;30000;0;CASH
665;07/06/2022;KERJA;Reimburse;Reimburse;0;70000;CASH
666;07/06/2022;MAKAN;Makan Luar;Warteg;15000;0;CASH
667;07/06/2022;JAJAN;Jajan & Rokok;Warung;7000;0;CASH
668;07/06/2022;MAKAN;Makan Luar;Warteg;15000;0;CASH
669;07/06/2022;KERJA;Reimburse;Cat;270000;0;BCA
670;07/06/2022;KERJA;Reimburse;Reimburse;0;300000;CASH
671;07/06/2022;HIBURAN;Entertainment;Konser;340000;0;BCA
672;07/06/2022;LAIN - LAIN;Teman;Ola;335000;0;BCA
673;08/06/2022;MAKAN;Makan Luar;Warteg;18000;0;CASH
674;08/06/2022;MAKAN;Makan Luar;Warteg;17000;0;CASH
675;08/06/2022;KERJA;Reimburse;Mata Potong Keramik;97000;0;CASH
676;08/06/2022;JAJAN;Jajan & Rokok;Indomaret;65500;0;CASH
677;09/06/2022;MAKAN;Makan Luar;Warteg;18000;0;CASH
678;09/06/2022;MAKAN;Makan Luar;Warteg;18000;0;CASH
679;09/06/2022;KERJA;Reimburse;Amplas;10000;0;CASH
680;09/06/2022;MAKAN;Online;Gold Chick;30000;0;BLU
681;09/06/2022;TABUNGAN;Inves;Seabank;500000;0;BLU
682;10/06/2022;MAKAN;Makan Luar;Warteg;18000;0;CASH
683;10/06/2022;KERJA;Reimburse;Plamir;55000;0;CASH
684;10/06/2022;MAKAN;Makan Luar;Warteg;14000;0;CASH
685;10/06/2022;JAJAN;Jajan & Rokok;Rokok;35000;0;CASH
686;10/06/2022;JAJAN;Jajan & Rokok;Warung;4000;0;CASH
687;10/06/2022;KERJA;Gaji;Uang Makan;0;300000;CASH
688;10/06/2022;KERJA;Gaji;Uang Bensin;0;50000;CASH
689;10/06/2022;KERJA;Reimburse;Reimburse;0;162000;CASH
690;10/06/2022;TEMPAT TINGGAL;Maintenance;Laundry;21000;0;CASH
691;10/06/2022;HIBURAN;Entertainment;Nonton;100000;0;CASH
692;10/06/2022;LAIN - LAIN;Teman;Ola;75000;0;CASH
693;10/06/2022;LAIN - LAIN;Teman;Ola;0;50000;BCA
694;10/06/2022;TRANSPORT;Publik;Parkir;12000;0;CASH
695;11/06/2022;MAKAN;Online;Katanya Bento;25500;0;BCA
696;11/06/2022;TRANSPORT;Pribadi;Pertamax;50000;0;CASH
697;11/06/2022;TRANSPORT;Pribadi;Cuci Motor;20000;0;CASH
698;11/06/2022;JAJAN;Jajan & Rokok;Indomaret;7000;0;CASH
699;11/06/2022;TEMPAT TINGGAL;Maintenance;Galon;20000;0;CASH
700;12/06/2022;MAKAN;Makan Luar;Lamongan;20000;0;CASH
701;12/06/2022;MAKAN;Online;Gold Chick;30500;0;BCA
702;12/06/2022;BELANJA;Kebutuhan;Makanan;57000;0;CASH
703;12/06/2022;JAJAN;Jajan & Rokok;Starling;5000;0;CASH
704;13/06/2022;MAKAN;Makan Luar;Warteg;15000;0;CASH
705;13/06/2022;MAKAN;Makan Luar;Warteg;21000;0;CASH
706;13/06/2022;BELANJA;Kebutuhan;Lakban;16000;0;CASH
707;13/06/2022;TRANSPORT;Pribadi;Parkir;1000;0;CASH
708;14/06/2022;MAKAN;Makan Luar;Warteg;18000;0;CASH
709;14/06/2022;MAKAN;Makan Luar;Warteg;20000;0;CASH
710;15/06/2022;MAKAN;Makan Luar;Warteg;20000;0;CASH
711;15/06/2022;MAKAN;Makan Luar;Warmindo;16000;0;CASH
712;15/06/2022;JAJAN;Jajan & Rokok;Rokok;2000;0;CASH
713;15/06/2022;KERJA;Reimburse;Porstex;17500;0;CASH
714;15/06/2022;KERJA;Reimburse;Amplas;25000;0;CASH
715;15/06/2022;BELANJA;Kebutuhan;Makanan;147126;0;BCA
716;15/06/2022;KERJA;Gaji;Gaji;0;1750000;BCA
717;15/06/2022;KERJA;Gaji;Uang Makan;0;150000;BCA
718;15/06/2022;LAIN - LAIN;Teman;Ola;0;370000;BCA
719;15/06/2022;TRANSPORT;Pribadi;Parkir;1000;0;CASH
720;15/06/2022;MAKAN;Makan Luar;Warteg;20000;0;CASH
721;16/06/2022;JAJAN;Jajan & Rokok;Familymart;29500;0;CASH
722;16/06/2022;BELANJA;Kebutuhan;Makanan;17500;0;CASH
723;16/06/2022;TRANSPORT;Pribadi;Parkir;1000;0;CASH
724;17/06/2022;HIBURAN;Internet & Langganan;Internet;75600;0;BCA
725;17/06/2022;TRANSPORT;Pribadi;Parkir;7000;0;CASH
726;17/06/2022;TRANSPORT;Pribadi;Parkir;3000;0;FLAZZ
727;17/06/2022;JAJAN;Jajan & Rokok;Rokok;34000;0;CASH
728;18/06/2022;MAKAN;Online;Gold Chick;31500;0;BCA
729;18/06/2022;BELANJA;Kebutuhan;Sabun;70500;0;BCA
730;18/06/2022;LAIN - LAIN;Saldo;Tarik tunai;200000;0;BCA
731;18/06/2022;LAIN - LAIN;Saldo;Tarik tunai;0;200000;CASH
732;18/06/2022;TRANSPORT;Pribadi;Pertamax;50000;0;CASH
733;18/06/2022;TRANSPORT;Pribadi;Parkir;6000;0;CASH
734;19/06/2022;TABUNGAN;Bunga & Admin;Bunga;7500;0;BCA
735;21/06/2022;MAKAN;Makan Luar;Warteg;13000;0;CASH
736;21/06/2022;BELANJA;Kebutuhan;Makanan;43000;0;CASH
737;21/06/2022;TEMPAT TINGGAL;Maintenance;Laundry;28000;0;CASH
738;21/06/2022;TEMPAT TINGGAL;Maintenance;Galon;20000;0;CASH
739;21/06/2022;JAJAN;Jajan & Rokok;Rokok;33000;0;CASH
740;23/06/2022;LAIN - LAIN;Saldo;Tarik tunai;200000;0;BCA
741;23/06/2022;LAIN - LAIN;Saldo;Tarik tunai;0;200000;CASH
742;23/06/2022;BELANJA;Kebutuhan;Makanan;139500;0;CASH
743;23/06/2022;TRANSPORT;Pribadi;Parkir;2000;0;CASH
744;23/06/2022;TEMPAT TINGGAL;Maintenance;Listrik;52750;0;BCA
745;23/06/2022;JAJAN;Jajan & Rokok;Rokok;35000;0;CASH
746;23/06/2022;MAKAN;Online;Nasi Kuning Mbok Rum;29500;0;BCA
747;24/06/2022;HIBURAN;Self Care;Kursus;699000;0;BCA
748;25/06/2022;LAIN - LAIN;Saldo;Tarik tunai;0;100000;CASH
749;25/06/2022;LAIN - LAIN;Saldo;Tarik tunai;100000;0;BCA
750;25/06/2022;LAIN - LAIN;Teman;Ola;600000;0;BCA
751;25/06/2022;MAKAN;Makan Luar;Padang Kos;20000;0;CASH
752;26/06/2022;HIBURAN;Entertainment;Nonton;85000;0;BCA
753;26/06/2022;MAKAN;Makan Luar;Mangkokku;50000;0;BLU
754;26/06/2022;LAIN - LAIN;Teman;Ola;33500;0;BLU
755;26/06/2022;LAIN - LAIN;Teman;Ola;0;31000;BCA
756;26/06/2022;MAKAN;Makan Luar;Lamongan;17000;0;CASH
757;26/06/2022;BELANJA;Kebutuhan;Makanan;44000;0;CASH
758;27/06/2022;TRANSPORT;Publik;Kereta;236000;0;BCA
759;27/06/2022;BELANJA;Hobi;Emblem Motor;82000;0;BCA
760;27/06/2022;TABUNGAN;Inves;Seabank;0;511756;BLU
761;27/06/2022;TRANSPORT;Pribadi;Parkir;10000;0;FLAZZ
762;27/06/2022;LAIN - LAIN;Saldo;Pindah saldo;300000;0;BLU
763;27/06/2022;LAIN - LAIN;Saldo;Pindah saldo;0;300000;BCA
764;27/06/2022;TABUNGAN;Sangu;Mamah;0;2000000;BCA
765;27/06/2022;MAKAN;Makan Luar;Ayam Bakar Tulang Lunak;32000;0;BCA
766;28/06/2022;MAKAN;Makan Luar;Padang Kos;20000;0;CASH
767;28/06/2022;JAJAN;Jajan & Rokok;Rokok;36000;0;CASH
768;29/06/2022;TRANSPORT;Pribadi;Parkir;4000;0;FLAZZ
769;29/06/2022;MAKAN;Makan Luar;Bakmi Along;51000;0;BCA
770;29/06/2022;BELANJA;Kebutuhan;Makanan;24000;0;BCA
771;30/06/2022;TRANSPORT;Pribadi;Parkir;4000;0;CASH
772;30/06/2022;LAIN - LAIN;Saldo;Pindah saldo;300000;0;BCA
773;30/06/2022;LAIN - LAIN;Saldo;Pindah saldo;0;300000;CASH
774;30/06/2022;MAKAN;Makan Luar;Nasi Goreng;14000;0;CASH
775;30/06/2022;BELANJA;Kebutuhan;Makanan;70000;;BCA
776;30/06/2022;TEMPAT TINGGAL;Maintenance;Laundry;21000;0;CASH
777;01/07/2022;BELANJA;Hobi;Keyboard 3/3;639884;0;BCA
778;01/07/2022;MAKAN;Makan Luar;Warteg;12000;0;CASH
779;01/07/2022;TRANSPORT;Pribadi;Servis;177000;0;CASH
780;01/07/2022;JAJAN;Jajan & Rokok;Rokok;34000;0;CASH
781;01/07/2022;TEMPAT TINGGAL;Kos;Bayar Juli - Agustus;900000;0;BCA
782;02/07/2022;TRANSPORT;Publik;Gojek;35000;0;BLU
783;02/07/2022;TRANSPORT;Publik;Gojek;15000;0;BLU
784;02/07/2022;TABUNGAN;Bunga & Admin;Bunga;0;41,96;BCA
785;02/07/2022;TABUNGAN;Bunga & Admin;Bunga;0;5167,28;BLU
786;02/07/2022;TABUNGAN;Bunga & Admin;Bunga;10000;0;MANDIRI
787;06/07/2022;TRANSPORT;Publik;Gojek;15000;0;BLU
788;06/07/2022;JAJAN;Jajan & Rokok;Rokok;35000;0;CASH
